source,target,weight
M0008,M0021,0.9015280526567225
M0008,M0033,0.891599872469449
M0009,M0021,0.9887845833150403
M0009,M0063,0.9878492183421882
M0009,M0020,0.9875398603617956
M0009,M0067,0.9245153613471915
M0009,M0029,0.9148039598467026
M0009,M0068,0.9119736840795096
M0009,M0055,0.9099279437315543
M0009,M0008,0.8901302716954529
M0010,M0038,0.9996040390555776
M0010,M0022,0.9723750718960341
M0010,M0059,0.9595021012099805
M0010,M0018,0.9575259940845687
M0010,M0043,0.9569834727414557
M0010,M0033,0.9562366575825275
M0010,M0056,0.8309607416111272
M0010,M0008,0.8255239088478277
M0011,M0019,0.9997824024830156
M0011,M0004,0.9979706385443502
M0011,M0041,0.9928283331067917
M0011,M0047,0.9811660254107984
M0011,M0052,0.9489542474450071
M0011,M0042,0.9409243212806373
M0011,M0029,0.9198217902707319
M0011,M0036,0.8274803125617457
M0012,M0003,0.9749590237291262
M0012,M0035,0.962893579241864
M0012,M0060,0.9605934325026743
M0012,M0066,0.9537212956147116
M0012,M0030,0.9343056092619118
M0012,M0014,0.9269464439663027
M0012,M0017,0.9256295414186911
M0012,M0064,0.9166926203470139
M0013,M0007,0.9970014639989648
M0013,M0050,0.9942300191806611
M0013,M0046,0.9808980315419268
M0013,M0017,0.961820186727425
M0013,M0024,0.952419112747355
M0013,M0048,0.9366854054212815
M0013,M0045,0.9299901541261475
M0013,M0064,0.8959955047505849
M0014,M0023,0.9959210435166337
M0014,M0036,0.9883148657667771
M0014,M0012,0.9269464439663027
M0014,M0064,0.886655150995217
M0014,M0060,0.8853247517568538
M0014,M0003,0.8495805551430173
M0014,M0047,0.8457863762978522
M0014,M0066,0.8236012281733909
M0015,M0027,0.9923562724657927
M0015,M0001,0.9876454076503025
M0015,M0028,0.9813246248708615
M0015,M0051,0.9770044608472446
M0015,M0030,0.9681304747671131
M0015,M0035,0.9662476046201943
M0015,M0044,0.9563628056915264
M0015,M0065,0.9502324205954646
M0016,M0034,0.9757790571902785
M0016,M0056,0.9755336894766149
M0016,M0039,0.9534525235782988
M0016,M0018,0.9149576567184885
M0016,M0006,0.9140867461085895
M0016,M0055,0.9021056460614326
M0016,M0068,0.8992408421224534
M0016,M0067,0.895882282353722
M0017,M0046,0.9901684271243513
M0017,M0007,0.9776365310690396
M0017,M0013,0.961820186727425
M0017,M0064,0.95984295869372
M0017,M0050,0.9471398306048603
M0017,M0030,0.9292642324275504
M0017,M0012,0.9256295414186911
M0017,M0048,0.9055431199991499
M0018,M0022,0.9666968672944302
M0018,M0010,0.9575259940845687
M0018,M0038,0.9492762440735392
M0018,M0056,0.9198312359870772
M0018,M0016,0.9149576567184885
M0018,M0053,0.8956903784397178
M0018,M0033,0.8808662490566898
M0018,M0059,0.8486252238664662
M0019,M0011,0.9997824024830156
M0019,M0004,0.9984404599950727
M0019,M0041,0.9923069886782241
M0019,M0047,0.9769810174506501
M0019,M0052,0.944154822376098
M0019,M0042,0.9372173645570084
M0019,M0029,0.9189791517598447
M0019,M0036,0.8172818195577445
M0020,M0009,0.9875398603617956
M0020,M0021,0.9753138994891244
M0020,M0063,0.969905929275671
M0020,M0067,0.9603574201630898
M0020,M0008,0.9434803885078179
M0020,M0045,0.9384733420769406
M0020,M0029,0.921488098268307
M0020,M0048,0.9080237493506927
M0021,M0009,0.9887845833150403
M0021,M0020,0.9753138994891244
M0021,M0068,0.960406282536906
M0021,M0055,0.9591422173631193
M0021,M0063,0.9550066815435851
M0021,M0067,0.9446224400535624
M0021,M0008,0.9015280526567225
M0021,M0056,0.8923175481749314
M0022,M0010,0.9723750718960341
M0022,M0038,0.9690237224288266
M0022,M0018,0.9666968672944302
M0022,M0033,0.9647503176900907
M0022,M0008,0.9274939563708742
M0022,M0056,0.9239727342641118
M0022,M0043,0.9112036209664
M0022,M0024,0.900405112050939
M0023,M0014,0.9959210435166337
M0023,M0036,0.9789667397786428
M0023,M0012,0.908168340933852
M0023,M0060,0.88672505162026
M0023,M0064,0.8450228190010435
M0023,M0003,0.8374824722445506
M0023,M0066,0.8168511262270334
M0023,M0047,0.8111328543887001
M0024,M0050,0.972106494266425
M0024,M0008,0.9691330666570065
M0024,M0045,0.9641265449777743
